@RELATION fixation_to_clicks_a

@ATTRIBUTE FPOGX REAL
@ATTRIBUTE FPOGY REAL 
@ATTRIBUTE FPOGS REAL
@ATTRIBUTE FPOGD REAL 
@ATTRIBUTE CS {0,1}

@DATA
0.23708,0.22517,2.67984,0.0802,0
0.23747,0.23034,2.67984,0.08682,0
0.23675,0.23495,2.67984,0.09348,0
0.23728,0.23776,2.67984,0.10025,0
0.23776,0.24024,2.67984,0.10678,0
0.24029,0.27345,2.67984,0.10678,0
0.24019,0.28744,2.67984,0.10678,0
0.24063,0.29763,2.67984,0.10678,0
0.24902,0.28901,2.79349,0.02011,0
0.25583,0.27308,2.79349,0.02701,0
0.26037,0.26246,2.79349,0.03351,0
0.25939,0.25323,2.79349,0.0401,0
0.26014,0.24407,2.79349,0.04642,0
0.26063,0.23484,2.79349,0.05328,0
0.2606,0.22678,2.79349,0.05981,0
0.25973,0.2196,2.79349,0.06662,0
0.25909,0.21523,2.79349,0.07315,0
0.25901,0.21281,2.79349,0.08032,0
0.26005,0.21148,2.79349,0.08691,0
0.26095,0.21033,2.79349,0.09329,0
0.26431,0.18227,2.79349,0.09329,0
0.26442,0.17148,2.79349,0.09329,0
0.26446,0.16788,2.79349,0.09329,0
0.26629,0.17095,2.89362,0.02011,0
0.26668,0.17581,2.89362,0.02689,0
0.26694,0.17905,2.89362,0.03351,0
0.26411,0.17549,2.89362,0.04004,0
0.26353,0.17098,2.89362,0.04681,0
0.26298,0.16527,2.89362,0.05365,0
0.26068,0.16153,2.89362,0.06027,0
0.26077,0.15836,2.89362,0.06683,0
0.26084,0.15572,2.89362,0.07367,0
0.25956,0.15335,2.89362,0.08069,0
0.26008,0.15053,2.89362,0.08713,0
0.26053,0.14808,2.89362,0.09381,0
0.26217,0.14706,2.89362,0.10013,0
0.2659,0.14606,2.89362,0.10822,0
0.26922,0.14517,2.89362,0.11432,0
0.27398,0.14374,2.89362,0.12106,0
0.27847,0.14228,2.89362,0.12778,0
0.28254,0.14097,2.89362,0.13446,0
0.30748,0.12132,2.89362,0.13446,0
0.33389,0.11785,2.89362,0.13446,0
